,strAccount,strText,DateTime,fltCompound,fltPositive,fltNeutral,fltNegative,hrsApart,TweetsAgo,Color
315,@FoxNews,"He proposed to his wife naked in a vegetable garden... 😳🍆💍

10 Things we learned about @KelseyGrammer from his… https://t.co/novuBDLLSE",2017-12-14 12:00:08,0.0,0.0,1.0,0.0,0.9997222222222222,16.0,green
335,@FoxNews,"He proposed to his wife naked in a vegetable garden... 😳🍆💍

10 Things we learned about @KelseyGrammer from his… https://t.co/novuBDLLSE",2017-12-14 12:00:08,0.0,0.0,1.0,0.0,0.9997222222222222,36.0,green
314,@FoxNews,RT @bbcpress: Special event staged at London Palladium in honour of Sir Bruce Forsyth will be aired on @BBCOne: https://t.co/JTbcFk2PXj htt…,2017-12-14 12:01:41,0.7506,0.252,0.748,0.0,0.025833333333333333,15.0,green
334,@FoxNews,RT @bbcpress: Special event staged at London Palladium in honour of Sir Bruce Forsyth will be aired on @BBCOne: https://t.co/JTbcFk2PXj htt…,2017-12-14 12:01:41,0.7506,0.252,0.748,0.0,0.025833333333333333,35.0,green
313,@FoxNews,"RT @BBCR1: 🎼 🎻🎶✨

@LondonGrammar + a string quintet is SO heavenly!

Stay tuned for their Christmas Live Lounge cover... https://t.co/a2yVo…",2017-12-14 12:12:46,0.7444,0.238,0.762,0.0,0.18472222222222223,14.0,green
333,@FoxNews,"RT @BBCR1: 🎼 🎻🎶✨

@LondonGrammar + a string quintet is SO heavenly!

Stay tuned for their Christmas Live Lounge cover... https://t.co/a2yVo…",2017-12-14 12:12:46,0.7444,0.238,0.762,0.0,0.18472222222222223,34.0,green
312,@FoxNews,"RT @BBCR1: 🎶 We're dreaming of a @LondonGrammar Christmas album 🎶

How heavenly is this? 🎄💫 https://t.co/Xh7aHEXCWt",2017-12-14 12:25:25,0.6124,0.235,0.765,0.0,0.21083333333333334,13.0,green
332,@FoxNews,"RT @BBCR1: 🎶 We're dreaming of a @LondonGrammar Christmas album 🎶

How heavenly is this? 🎄💫 https://t.co/Xh7aHEXCWt",2017-12-14 12:25:25,0.6124,0.235,0.765,0.0,0.21083333333333334,33.0,green
311,@FoxNews,"RT @BBCNews: 53 adults, 18 children 💚
#GrenfellTower

https://t.co/0lM54Cvw07 https://t.co/vJAhXktYRe",2017-12-14 12:27:47,0.0,0.0,1.0,0.0,0.03944444444444444,12.0,green
331,@FoxNews,"RT @BBCNews: 53 adults, 18 children 💚
#GrenfellTower

https://t.co/0lM54Cvw07 https://t.co/vJAhXktYRe",2017-12-14 12:27:47,0.0,0.0,1.0,0.0,0.03944444444444444,32.0,green
310,@FoxNews,"The awkward moment when Graham gets the wrong Gallagher brother. 😬

The Graham Norton Show | @BBCOne https://t.co/B7PGlaPmXw",2017-12-14 12:30:04,-0.5719,0.0,0.749,0.251,0.03805555555555556,11.0,green
330,@FoxNews,"The awkward moment when Graham gets the wrong Gallagher brother. 😬

The Graham Norton Show | @BBCOne https://t.co/B7PGlaPmXw",2017-12-14 12:30:04,-0.5719,0.0,0.749,0.251,0.03805555555555556,31.0,green
309,@FoxNews,"RT @BBC6Music: What was your favourite album of 2017? 

Here's Jodie Whittaker (@bbcdoctorwho / @BroadchurchTV) sharing her favourite. #201…",2017-12-14 12:45:09,0.4215,0.141,0.859,0.0,0.2513888888888889,10.0,green
329,@FoxNews,"RT @BBC6Music: What was your favourite album of 2017? 

Here's Jodie Whittaker (@bbcdoctorwho / @BroadchurchTV) sharing her favourite. #201…",2017-12-14 12:45:09,0.4215,0.141,0.859,0.0,0.2513888888888889,30.0,green
308,@FoxNews,RT @BBCNewsround: What do the @UKRobotWars house bots do on their day off? Shovel snow of course! ❄ https://t.co/krB7oQIEBR https://t.co/0l…,2017-12-14 12:46:06,0.0,0.0,1.0,0.0,0.015833333333333335,9.0,green
328,@FoxNews,RT @BBCNewsround: What do the @UKRobotWars house bots do on their day off? Shovel snow of course! ❄ https://t.co/krB7oQIEBR https://t.co/0l…,2017-12-14 12:46:06,0.0,0.0,1.0,0.0,0.015833333333333335,29.0,green
307,@FoxNews,"❄️⛄️ How cold can it get at work before you can legally go home? https://t.co/RCSDvZZRxg

We were all thinking it... https://t.co/9DWTOhCFL0",2017-12-14 13:03:04,0.1027,0.065,0.935,0.0,0.2827777777777778,8.0,green
327,@FoxNews,"❄️⛄️ How cold can it get at work before you can legally go home? https://t.co/RCSDvZZRxg

We were all thinking it... https://t.co/9DWTOhCFL0",2017-12-14 13:03:04,0.1027,0.065,0.935,0.0,0.2827777777777778,28.0,green
306,@FoxNews,"🎄 @LiamPayne, @ddlovato &amp; @Camila_Cabello will all present Christmas Day shows on @BBCR1. 👉 https://t.co/1k9h7hNZ3r… https://t.co/FAVRZRPkX1",2017-12-14 13:30:06,0.0,0.0,1.0,0.0,0.45055555555555554,7.0,green
326,@FoxNews,"🎄 @LiamPayne, @ddlovato &amp; @Camila_Cabello will all present Christmas Day shows on @BBCR1. 👉 https://t.co/1k9h7hNZ3r… https://t.co/FAVRZRPkX1",2017-12-14 13:30:06,0.0,0.0,1.0,0.0,0.45055555555555554,27.0,green
305,@FoxNews,"🎞🎵🎨 Gospel singer and civil rights activist @MavisStaples reveals her current picks for theatre, music and film. 👉… https://t.co/fNllKUJwMW",2017-12-14 14:00:08,0.0,0.0,1.0,0.0,0.5005555555555555,6.0,green
325,@FoxNews,"🎞🎵🎨 Gospel singer and civil rights activist @MavisStaples reveals her current picks for theatre, music and film. 👉… https://t.co/fNllKUJwMW",2017-12-14 14:00:08,0.0,0.0,1.0,0.0,0.5005555555555555,26.0,green
304,@FoxNews,"🙄
Looking up or rolling eyes?

Via @BBCScotland. https://t.co/d6W5jfMNIg",2017-12-14 17:00:05,0.0,0.0,1.0,0.0,2.9991666666666665,5.0,green
324,@FoxNews,"🙄
Looking up or rolling eyes?

Via @BBCScotland. https://t.co/d6W5jfMNIg",2017-12-14 17:00:05,0.0,0.0,1.0,0.0,2.9991666666666665,25.0,green
303,@FoxNews,👽 'Ask them if they believe in aliens' + 6 other awkward Christmas party conversation starters to help you survive… https://t.co/SIwOyxXkqj,2017-12-14 17:30:10,0.5859,0.245,0.682,0.073,0.5013888888888889,4.0,green
323,@FoxNews,👽 'Ask them if they believe in aliens' + 6 other awkward Christmas party conversation starters to help you survive… https://t.co/SIwOyxXkqj,2017-12-14 17:30:10,0.5859,0.245,0.682,0.073,0.5013888888888889,24.0,green
302,@FoxNews,"🍠🥕🥑 Here are our favourite vegetarian dishes to help herbivores up their protein intake, iron and fibre.… https://t.co/1bq9ZNdozI",2017-12-14 18:00:33,0.4019,0.137,0.863,0.0,0.5063888888888889,3.0,green
322,@FoxNews,"🍠🥕🥑 Here are our favourite vegetarian dishes to help herbivores up their protein intake, iron and fibre.… https://t.co/1bq9ZNdozI",2017-12-14 18:00:33,0.4019,0.137,0.863,0.0,0.5063888888888889,23.0,green
301,@FoxNews,"Scientists have unveiled a detailed genetic map of Ireland, revealing subtle DNA differences that may reflect histo… https://t.co/90QIQbSpKg",2017-12-14 18:30:10,0.0,0.0,1.0,0.0,0.4936111111111111,2.0,green
321,@FoxNews,"Scientists have unveiled a detailed genetic map of Ireland, revealing subtle DNA differences that may reflect histo… https://t.co/90QIQbSpKg",2017-12-14 18:30:10,0.0,0.0,1.0,0.0,0.4936111111111111,22.0,green
300,@FoxNews,"If you put all the man hours together, it would be 75 years of someone's life to do all the visual effects on Paddi… https://t.co/qXDiEDggSw",2017-12-14 19:00:04,0.0,0.0,1.0,0.0,0.49833333333333335,1.0,green
